horizon,mse,rmse,mae,mape,mdape,smape,coverage
123 days,0.05812783424090485,0.24109714689499095,0.14840623051160676,0.04645207170787068,0.025521767676754476,0.045729215458765154,0.6857805023923444
124 days,0.05967829177823108,0.24429140749979536,0.14945541901626902,0.04680328635646696,0.025521767676754476,0.046033848776640934,0.6922099282296651
125 days,0.06132113749569291,0.247631051154117,0.1506945798642957,0.04717204106511001,0.025521767676754476,0.046362555931385004,0.6930322966507177
126 days,0.06347437786718252,0.2519412190713987,0.15342468089165281,0.04801625784910873,0.026029655950897873,0.04713594197902642,0.6883971291866029
127 days,0.06525057555780671,0.25544192208368366,0.15536356151162473,0.048636321416633876,0.026211093801070715,0.04763347121404154,0.6887073863636364
128 days,0.0650293976531371,0.2550086227035021,0.1553139224210275,0.04863484850492017,0.026211093801070715,0.04761481900737324,0.6910511363636364
129 days,0.0656497401104451,0.25622205234999795,0.156535968954689,0.04907134313598313,0.02627244517407784,0.04807273380338497,0.6894437799043062
130 days,0.0683185114630914,0.261378100580541,0.15896373729882057,0.04989400459134057,0.02627244517407784,0.04881074307762648,0.6879485645933014
131 days,0.07032618499901745,0.2651908463710945,0.1599908223104185,0.05027283648899334,0.02682773842252108,0.04910700762432076,0.6922099282296651
132 days,0.0723628260842305,0.2690033941871933,0.1613388036737487,0.05069993689753754,0.026965117923048447,0.04945369563915338,0.6930322966507177
133 days,0.07498812770537266,0.2738396021494566,0.164110038000712,0.051575880206441126,0.02733660107557747,0.0502265750630577,0.6905651913875598
134 days,0.07687056344723775,0.27725541193498415,0.1655965843883784,0.05207154882632404,0.027448502978506324,0.05058865672012413,0.6923295454545454
135 days,0.07621530023085404,0.2760711868900013,0.16490140451310953,0.05184730963064492,0.027448502978506324,0.05036480936541097,0.6967329545454546
136 days,0.07652936424986113,0.2766394119605179,0.16563519372016192,0.05210709255985713,0.02733660107557747,0.050661246659778565,0.6965460526315789
137 days,0.07948630945294377,0.2819331648688103,0.16798037644769293,0.05289148971114259,0.027423418998306193,0.05134769125192658,0.6964712918660287
138 days,0.08144495503042185,0.28538562512926585,0.16875522114698882,0.053161807860656426,0.02733660107557747,0.05153625774461637,0.7021531100478469
139 days,0.08323129416698154,0.2884983434388862,0.16994737717058614,0.05352405593454789,0.027548830070690672,0.05182172298048437,0.7050687799043062
140 days,0.0857036721454249,0.292751895203814,0.17243248592789817,0.054300620644144246,0.027595418400334817,0.05249702169391195,0.7011812200956938
141 days,0.08742950888162516,0.2956848134105388,0.17333251218364806,0.054592389046330146,0.028304834455454182,0.052660787899631016,0.7022727272727273
142 days,0.08639050137563395,0.29392261120171403,0.17202549488222466,0.054169262766811645,0.02804334838691891,0.05225402809133029,0.7059659090909091
143 days,0.08646624536634186,0.294051433198925,0.17246274710871534,0.05432222652850877,0.02784865170858093,0.052452604560124086,0.7058163875598086
144 days,0.08951081508179014,0.29918358090274627,0.17460695341428223,0.055033134779730285,0.027752406949480002,0.053057196712333304,0.7085825358851675
145 days,0.09152742852685235,0.30253500380427445,0.17512443648894135,0.05520673264186695,0.027498780434964655,0.05314472149104866,0.7149372009569378
146 days,0.09353168180077699,0.3058294979245413,0.17619903566528422,0.05551963267951431,0.027548830070690672,0.0533760773998599,0.7192733253588517
147 days,0.09612069688459103,0.3100333802747553,0.1783569409941647,0.05619485490168386,0.027752406949480002,0.05394445948635426,0.7210675837320575
148 days,0.09799833596786776,0.3130468590608565,0.17926000331293634,0.05647485668880123,0.02784865170858093,0.054090933231395376,0.7257812499999999
149 days,0.09669201441285509,0.31095339588571,0.1779899626683112,0.05604788042079931,0.02763730195289022,0.05369416750238238,0.7322443181818182
150 days,0.09665658718636973,0.3108964251746387,0.17846482333851663,0.056219260641581045,0.027752406949480002,0.05391264969389334,0.7384120813397129
151 days,0.10024894768377385,0.31662114219327464,0.18076776924479673,0.0569971543191192,0.027673824279600197,0.05455895221747802,0.7440191387559808
152 days,0.10238242652422146,0.3199725402659132,0.1813401382729172,0.05717337812486566,0.02763730195289022,0.054643007008296725,0.7518690191387559
153 days,0.10414961346259548,0.32272219239245925,0.1821523252562752,0.05738900144516001,0.027596106049751178,0.054780350202379036,0.7555322966507177
154 days,0.10663254545132897,0.32654639096356425,0.18422495517248383,0.05803421179287913,0.028201692644269038,0.05531734127648505,0.7551584928229665
155 days,0.10858964615594001,0.3295294313956494,0.1852474614860114,0.058362281635710306,0.02877685044430131,0.05549371366899759,0.7576704545454546
156 days,0.10709333805879159,0.32725118496163097,0.18420344832570634,0.057999160651621674,0.02865917801761414,0.05516289157760689,0.7627840909090909
157 days,0.10713667881097567,0.3273173976600933,0.1849808659590684,0.0582561766324621,0.02865917801761414,0.05547266471868842,0.7654754784688996
158 days,0.11149574852639943,0.33390979100110174,0.18793994322881344,0.05924315064478294,0.028940416188729452,0.05629768247871798,0.7668211722488039
159 days,0.11415828331507492,0.33787317637698755,0.18888862415483124,0.05955761852336765,0.02877685044430131,0.05649120825248589,0.773175837320574
160 days,0.11616999051965111,0.34083719063454787,0.18974922195931906,0.059775269381070494,0.028940416188729452,0.056623355186058835,0.7747458133971292
161 days,0.11893934974685584,0.3448758468592079,0.19194653081798088,0.0604451673362223,0.029887061734268652,0.05717123597515419,0.7722039473684211
162 days,0.12111953934448061,0.3480223259282091,0.19326859122925455,0.06087008224192742,0.030432886671443435,0.05743392123298072,0.7732954545454546
163 days,0.11937371164071924,0.34550500957398467,0.19219699521205377,0.06051004621003704,0.030432886671443435,0.05712147502445093,0.7769886363636364
164 days,0.11925402193385577,0.345331756335637,0.19289215110917482,0.06075443126595528,0.03058952453671227,0.05743186116257863,0.779680023923445
165 days,0.12393063188644499,0.35203782735161426,0.19591950491472654,0.061768226331178136,0.030432886671443435,0.05827794598568271,0.7810257177033493
166 days,0.12670784164847781,0.3559604495565172,0.197211264731098,0.06216138975248091,0.030865983079698747,0.05856778422733646,0.785959928229665
167 days,0.1286717582859533,0.3587084586205813,0.19842019116086523,0.0624546649016936,0.031056796247532555,0.0587976900556714,0.7882027511961723
168 days,0.13118348223884102,0.36219260378815166,0.20060836301731236,0.06308796518623869,0.03124684766683044,0.05934746231901842,0.7892494019138756
169 days,0.1332507601092225,0.3650352861152227,0.2018203057145958,0.06347490631642666,0.031664640739443736,0.05959591276123941,0.7924005681818183
170 days,0.13099082583435429,0.36192654756781006,0.20062837519097032,0.06304487493653405,0.031399415639032174,0.05924785592447635,0.7982954545454546
171 days,0.1306839644435166,0.36150237128339363,0.2012583501356645,0.06325807857402675,0.031399415639032174,0.059546324856708126,0.8031549043062202
172 days,0.136006022276247,0.36878994329597303,0.20462898220508138,0.06436790392335089,0.0319001157088836,0.06047912396341018,0.8045005980861244
173 days,0.13925532297075469,0.37316929532151316,0.20619989653748275,0.06483623440748827,0.03191420243993065,0.060839226273066996,0.8094348086124402
174 days,0.1417203643131314,0.3764576527487938,0.20783893248210586,0.06526870408199978,0.03205161868952737,0.06120424633427676,0.8130980861244019
175 days,0.14472943950332615,0.38043322607696367,0.21034050515236877,0.06602044474450386,0.03212197968731906,0.06186548815992958,0.814069976076555
176 days,0.14712330288311407,0.3835665560018418,0.21161330189642752,0.06644315752462059,0.032207297705580826,0.06214664742495166,0.81875
177 days,0.1448232249893258,0.3805564675436824,0.2107988346066014,0.06616140221938802,0.032654817340392356,0.06195195757050731,0.8267045454545454
178 days,0.1446386351283451,0.3803138639707276,0.21204148249532137,0.06657889425056515,0.03268842394690884,0.06245571340819291,0.8322368421052633
179 days,0.1506648458037885,0.38815569788911836,0.21585599498455296,0.06782842573799633,0.03287088974865056,0.06351345386945545,0.8343301435406698
180 days,0.15466293504019424,0.39327208779697836,0.2177864075781888,0.06841825616404273,0.03289490064772424,0.06398131849825815,0.8386662679425837
181 days,0.1577137139077123,0.3971318595979329,0.2196774728534686,0.0689512068002991,0.03303192427756205,0.06443731586961748,0.8408343301435406
182 days,0.16134660425731265,0.4016797284620082,0.2224236804846633,0.0697943842758611,0.03323118867314917,0.0651769581115982,0.8417314593301435
183 days,0.16414992261511066,0.40515419609712877,0.22363574069461054,0.07018249947690497,0.033422697032939035,0.06541769221234894,0.844034090909091
184 days,0.16122933761775526,0.4015337316063935,0.22230416043390547,0.06972263025365054,0.03333013368782985,0.06507554513418647,0.8494318181818182
185 days,0.16067906273113264,0.4008479296829817,0.22304069283555836,0.06996688062370805,0.033422697032939035,0.06543439097613789,0.8542912679425837
186 days,0.16761399391784954,0.40940688064302183,0.22669575990824778,0.07116376468260606,0.03340456939475928,0.06641980693035743,0.8550388755980861
