horizon,mse,rmse,mae,mape,mdape,smape,coverage
113 days,0.06735873340690449,0.2595356110573354,0.1978179829683339,0.047510474931430416,0.035172782206612796,0.0469527594595935,0.5554687500000001
114 days,0.06801888258070753,0.2608042993907645,0.19860268054105845,0.04774819458717027,0.03559707513307196,0.04717315226473043,0.5575284090909091
115 days,0.06969372327000078,0.2639956879761501,0.20132950021584622,0.048466967256558295,0.035838952257790754,0.047907100909816286,0.5579395933014354
116 days,0.0709589324756485,0.26638117890655955,0.2035649543347433,0.049019141661565846,0.03636009306213235,0.0484778414583174,0.5592852870813397
117 days,0.07143412423398313,0.26727163005822957,0.20397916831787677,0.049118573425552696,0.036372382964124296,0.04858678400565473,0.5657147129186603
118 days,0.07276472543803422,0.26974937523196274,0.20549447446594538,0.04950730654346713,0.03651442953075457,0.048953016340219424,0.5686303827751197
119 days,0.07392591651390071,0.2718932079216042,0.2069952668217908,0.049917134576782485,0.036745666516172004,0.04935646969276417,0.5706489234449761
120 days,0.07410552232317019,0.27222329496788145,0.2070570786888952,0.049947857553486234,0.03657374560212225,0.04936945943788667,0.5759943181818182
121 days,0.07460687087399923,0.2731425834138632,0.20735972329069827,0.05004343026714131,0.036745666516172004,0.0494589913938577,0.5795454545454546
122 days,0.07630848161277753,0.27623989866197374,0.20988111358863393,0.050707484840891645,0.03731856748332207,0.05014657125782213,0.579994019138756
123 days,0.07754390319099579,0.27846705943611316,0.21179256511916866,0.05118617843072066,0.03744702009225496,0.05064632586356406,0.580592105263158
124 days,0.07778784091345346,0.2789047165493145,0.21148900368128742,0.05110895514113269,0.03720783079350574,0.05058007923711058,0.588441985645933
125 days,0.07896423500921396,0.28100575618519624,0.21276487374540717,0.05143229252338124,0.03729723240080289,0.050886306249487374,0.5906848086124402
126 days,0.08033406922044893,0.283432653765315,0.21464285655861595,0.05193680783833237,0.03720783079350574,0.05139291564154804,0.5912081339712919
127 days,0.08074842947423952,0.2841626813539025,0.214898307223076,0.05201214599663735,0.03698873815029197,0.051456819425261015,0.5936789772727272
128 days,0.08158175781135536,0.28562520514015455,0.21565837836548687,0.05221802742445654,0.03691662303284464,0.05165826135992103,0.5973011363636364
129 days,0.08347789033150504,0.2889254061717402,0.21837205373855204,0.052924272996540615,0.03736473362656934,0.05239180162854498,0.5991327751196173
130 days,0.08458004478201889,0.2908264856955413,0.2198063013425546,0.05326455206424559,0.037163161991119784,0.052769084948449604,0.6011513157894737
131 days,0.08487189459359118,0.2913278129420382,0.219642996625136,0.05320966040049144,0.03691662303284464,0.05273013789953973,0.6090011961722488
132 days,0.08630038166743807,0.2937692660361837,0.22123592746668655,0.05361850021199361,0.036704093641498195,0.05311472133507301,0.611244019138756
133 days,0.08765529554370578,0.29606637016673437,0.22299270348979938,0.05409459789932338,0.037163161991119784,0.05359362283517794,0.61251495215311
134 days,0.08809990729092981,0.2968162854206787,0.2233837813468803,0.054215370164775026,0.03706584254106457,0.0536946444448556,0.6143465909090909
135 days,0.0888704866527489,0.2981115339143202,0.2241591210575705,0.054428859939280455,0.03691662303284464,0.0539067676015843,0.6157670454545454
136 days,0.09075768464995478,0.3012601610733732,0.22671982550391323,0.05509350837473947,0.03691662303284464,0.0546109505974909,0.6175986842105263
137 days,0.09205927012846989,0.30341270594434555,0.22862357806523234,0.05554661020412365,0.03706584254106457,0.0551080230683155,0.619691985645933
138 days,0.09244625180949999,0.30404975219443936,0.22889098297105412,0.055605416555834196,0.03691662303284464,0.05518925820166171,0.6239533492822966
139 days,0.09389194625356784,0.3064179274350113,0.23054233882076244,0.05602857142037279,0.03725256359841693,0.05559502305753161,0.6233552631578948
140 days,0.09521112348824871,0.30856299760056893,0.2323704776264048,0.05649836077678869,0.03746368115720504,0.05608341750729689,0.6202900717703349
141 days,0.09525775309426532,0.30863854764799764,0.2324133297614467,0.05650188955034719,0.03736292701635347,0.05608105134578444,0.6220880681818182
142 days,0.09593298652952104,0.309730506294619,0.23279654556762328,0.056595164356469094,0.03746368115720504,0.056180271104632036,0.6257102272727273
143 days,0.0978713376180293,0.3128439509052865,0.23519420661978582,0.057185068887872254,0.03773160447945878,0.05682103774670724,0.6261214114832536
144 days,0.09903225901930914,0.3146939132225298,0.23664573876627565,0.05749985625373458,0.03783967680871293,0.05718293522766588,0.6267942583732057
145 days,0.09906675582368063,0.3147487185417609,0.23639399480258205,0.05741177677472278,0.03778919966230915,0.05711719820046111,0.6317284688995216
146 days,0.10034008864916434,0.31676503697403907,0.23798637201438924,0.05781658097921745,0.037813091462979564,0.05749983794181161,0.6325508373205742
147 days,0.10157500462146292,0.31870833785996705,0.24002138711025758,0.05833547066214269,0.038040406073278535,0.05803430871202351,0.6316537081339713
148 days,0.1015085230661754,0.31860402236345886,0.24014715970489353,0.05835371715950915,0.038498353002879834,0.0580548026284665,0.6334517045454545
149 days,0.10191912096162915,0.31924774229683933,0.24043693619879922,0.05841907396439803,0.038121266776786955,0.058125338490833255,0.6377840909090909
150 days,0.1034758598531958,0.32167663865005147,0.24263854070460333,0.05894740851705456,0.038498353002879834,0.05870000294077915,0.6389055023923444
151 days,0.10448206688179128,0.3232368587921113,0.24449208313295462,0.059353812077423476,0.03855476079945719,0.059150008272785826,0.6389055023923444
152 days,0.1044206528109394,0.32314184627023995,0.24454664681248317,0.059350742318355736,0.03855476079945719,0.05916635991064816,0.6417464114832536
153 days,0.10545196600398268,0.3247336847387143,0.24619031183251436,0.05975825719146796,0.038847557210305986,0.05955348581397777,0.6411483253588517
154 days,0.10658322866026433,0.3264708695431559,0.24825913222647794,0.060275021492330834,0.03907368401695353,0.0600858850831374,0.6380083732057416
155 days,0.1064141327731306,0.3262117912846355,0.24869150199432635,0.06037869368999442,0.03961315850239181,0.06018304798090037,0.6389914772727273
156 days,0.10684162565645304,0.32686637278321096,0.24954135352421594,0.06057983620443261,0.03990053993375554,0.060388328293314,0.6392045454545454
157 days,0.10856561939536157,0.3294929732109041,0.2524410057640862,0.06129495248706352,0.04080189388310001,0.06114784197514009,0.6361393540669856
158 days,0.10950966581474436,0.33092244682817207,0.2544188646601435,0.06175052633459591,0.04155790127339566,0.06164704167345223,0.6353917464114832
159 days,0.10938676321966706,0.3307366977214156,0.2545930874533779,0.06177668265143818,0.041442901832820525,0.06170163351667988,0.6389055023923444
160 days,0.11024131872198203,0.3320260813881675,0.25620162990032913,0.06214832584399312,0.04155790127339566,0.06207484219540341,0.6376345693779905
161 days,0.11151594535854929,0.33394003257852944,0.2586700130506526,0.0627546013978413,0.04310453844257762,0.06270824546073239,0.6365879186602871
162 days,0.11150953348874207,0.3339304321093573,0.25945137413201297,0.06295579374366549,0.04387759452860855,0.06289476153671786,0.6375710227272727
163 days,0.1120277879907524,0.3347055242907598,0.2606432006510943,0.06326043079090632,0.04446521151571954,0.06319262669641261,0.6384943181818182
164 days,0.11389904294845006,0.3374893227176973,0.26364131190236917,0.06402224317882593,0.04511081677203964,0.06399039174023438,0.6375598086124402
165 days,0.11507246051496836,0.3392233195329713,0.2658743986272182,0.06457560236358116,0.046253861629138505,0.06456490589494318,0.6382326555023924
166 days,0.11522566464019479,0.3394490604497158,0.26651958333575637,0.06474373590503524,0.04635918488615742,0.06474144593141265,0.6431668660287081
167 days,0.11619759951331889,0.3408776899612512,0.2681477011382042,0.06512660370760265,0.046253861629138505,0.06511525270185428,0.6454096889952153
168 days,0.11736847075043394,0.3425908211707283,0.2702557610713294,0.06564088378802238,0.04709811253582327,0.06565664233384262,0.6458582535885168
169 days,0.11730003418676324,0.34249092569988365,0.27081769373148157,0.06577323422965951,0.047438296017364885,0.06577542755912452,0.6475142045454546
170 days,0.11772360880984842,0.3431087419606916,0.2716311761659891,0.06593722799755054,0.04756065110778283,0.06594671575035384,0.6491477272727273
171 days,0.11949556930368709,0.3456813117651677,0.2742018180966914,0.06654620232540133,0.04843078822835284,0.0666079890881466,0.6502691387559808
172 days,0.12064658814177348,0.347342177314782,0.27606687162636195,0.06696057461342622,0.048662587525656054,0.067063183317832,0.6524372009569378
173 days,0.12058070890540501,0.3472473310270433,0.27605906826757615,0.06694057585766912,0.04859062113873514,0.06706463049514154,0.6566985645933014
174 days,0.12164341324907273,0.3487741579433212,0.27729248468281836,0.06723065765793124,0.048662587525656054,0.06733972407282203,0.6588666267942584
175 days,0.12293387318315072,0.3506192709808614,0.2789999492974337,0.06764103902786091,0.048609656771841286,0.06777614508038292,0.6608104066985646
176 days,0.12282110885572246,0.35045842671524174,0.2789576546299749,0.06761319716333412,0.048569382676024425,0.06772940945011445,0.6647017045454545
177 days,0.12341510171648801,0.35130485581114307,0.279638227296531,0.06775762778774458,0.04825953344203118,0.06786868597966246,0.6669034090909091
178 days,0.125488326383383,0.35424331522751845,0.28215912682808514,0.06835000361972855,0.048609656771841286,0.06851776944203676,0.6659688995215312
