horizon,mse,rmse,mae,mape,mdape,smape,coverage
153 days,0.2532256391579868,0.5032153009974824,0.3657311522018944,0.17123186654781916,0.097250886116066,0.15641228628145293,0.5116626794258373
154 days,0.2582228157282093,0.5081562906510253,0.3677179181799598,0.17229559468836506,0.09961424808271564,0.15684494540145782,0.5145783492822966
155 days,0.2628993595927412,0.5127371252335267,0.3692813581668862,0.17343166257492706,0.09972035291186059,0.15748091405631526,0.5213778409090909
156 days,0.26074895584363533,0.5106358348604564,0.36882771941762427,0.17254298757644174,0.09991043880282566,0.15729879613574638,0.5255681818181818
157 days,0.2596251039039669,0.509534202879421,0.3688824954675321,0.17220201697589144,0.10007860205929608,0.15733530568201118,0.5272876794258373
158 days,0.26769412746430626,0.5173916577065253,0.37269284607486347,0.17499193622015166,0.10016576236277824,0.15902005098373698,0.5301285885167464
159 days,0.27407309891495546,0.5235199126250648,0.3753859584691444,0.17710276462144295,0.10007860205929608,0.16049630025839542,0.533717105263158
160 days,0.27797015375043616,0.5272287489794503,0.3762289016363754,0.17769184521765366,0.10007860205929608,0.16053259941273806,0.536558014354067
161 days,0.2824616545950864,0.5314712170899628,0.37838750948643673,0.1787669430974419,0.10007860205929608,0.16094407793749538,0.5408193779904307
162 days,0.2868007358347437,0.5355378005656964,0.38057183511217746,0.18019363182856815,0.10048819049272645,0.16191721181680227,0.5469460227272728
163 days,0.28488980447636875,0.5337506950593777,0.38057149631166476,0.1795539420259937,0.10073226391123558,0.16189028425888588,0.5511363636363636
164 days,0.2839905175685682,0.532907606971948,0.3809386277370505,0.17935808477833093,0.10104196322527581,0.1619559645844085,0.5542763157894737
165 days,0.2907899501722971,0.5392494322410522,0.3845092563402872,0.18189200870963082,0.10110942057069727,0.16343967475951762,0.5564443779904307
166 days,0.29545244124736175,0.5435553709120735,0.3868674262485415,0.18357409204991415,0.10173921200049789,0.16464570348328234,0.5586124401913876
167 days,0.2975239918325783,0.5454575985652582,0.38763972909574457,0.18390772260342772,0.10145257894267401,0.1646194486698263,0.5621261961722488
168 days,0.2996944209064829,0.5474435321624349,0.3898278278455631,0.18466011293875192,0.10173921200049789,0.16510165680150168,0.5663875598086124
169 days,0.301508395528405,0.5490978014237582,0.39189382991649035,0.18568705789631557,0.10204190783419861,0.1660998854924687,0.5709517045454545
170 days,0.29900751796076375,0.5468157989311975,0.3923924725011263,0.1850966276634914,0.10204190783419861,0.16628659266461931,0.5731534090909091
